full_table_name,DDL
GA4.GA4_OBFUSCATED_SAMPLE_ECOMMERCE.EVENTS_20201204,"create or replace TABLE EVENTS_20201204 (
	EVENT_DATE VARCHAR(16777216),
	EVENT_TIMESTAMP NUMBER(38,0),
	EVENT_NAME VARCHAR(16777216),
	EVENT_PARAMS VARIANT,
	EVENT_PREVIOUS_TIMESTAMP NUMBER(38,0),
	EVENT_VALUE_IN_USD FLOAT,
	EVENT_BUNDLE_SEQUENCE_ID NUMBER(38,0),
	EVENT_SERVER_TIMESTAMP_OFFSET NUMBER(38,0),
	USER_ID VARCHAR(16777216),
	USER_PSEUDO_ID VARCHAR(16777216),
	PRIVACY_INFO VARIANT,
	USER_PROPERTIES VARIANT,
	USER_FIRST_TOUCH_TIMESTAMP NUMBER(38,0),
	USER_LTV VARIANT,
	DEVICE VARIANT,
	GEO VARIANT,
	APP_INFO VARIANT,
	TRAFFIC_SOURCE VARIANT,
	STREAM_ID NUMBER(38,0),
	PLATFORM VARCHAR(16777216),
	EVENT_DIMENSIONS VARIANT,
	ECOMMERCE VARIANT,
	ITEMS VARIANT
);"
GA4.GA4_OBFUSCATED_SAMPLE_ECOMMERCE.EVENTS_20201207,"create or replace TABLE EVENTS_20201207 (
	EVENT_DATE VARCHAR(16777216),
	EVENT_TIMESTAMP NUMBER(38,0),
	EVENT_NAME VARCHAR(16777216),
	EVENT_PARAMS VARIANT,
	EVENT_PREVIOUS_TIMESTAMP NUMBER(38,0),
	EVENT_VALUE_IN_USD FLOAT,
	EVENT_BUNDLE_SEQUENCE_ID NUMBER(38,0),
	EVENT_SERVER_TIMESTAMP_OFFSET NUMBER(38,0),
	USER_ID VARCHAR(16777216),
	USER_PSEUDO_ID VARCHAR(16777216),
	PRIVACY_INFO VARIANT,
	USER_PROPERTIES VARIANT,
	USER_FIRST_TOUCH_TIMESTAMP NUMBER(38,0),
	USER_LTV VARIANT,
	DEVICE VARIANT,
	GEO VARIANT,
	APP_INFO VARIANT,
	TRAFFIC_SOURCE VARIANT,
	STREAM_ID NUMBER(38,0),
	PLATFORM VARCHAR(16777216),
	EVENT_DIMENSIONS VARIANT,
	ECOMMERCE VARIANT,
	ITEMS VARIANT
);"
GA4.GA4_OBFUSCATED_SAMPLE_ECOMMERCE.EVENTS_20201211,"create or replace TABLE EVENTS_20201211 (
	EVENT_DATE VARCHAR(16777216),
	EVENT_TIMESTAMP NUMBER(38,0),
	EVENT_NAME VARCHAR(16777216),
	EVENT_PARAMS VARIANT,
	EVENT_PREVIOUS_TIMESTAMP NUMBER(38,0),
	EVENT_VALUE_IN_USD FLOAT,
	EVENT_BUNDLE_SEQUENCE_ID NUMBER(38,0),
	EVENT_SERVER_TIMESTAMP_OFFSET NUMBER(38,0),
	USER_ID VARCHAR(16777216),
	USER_PSEUDO_ID VARCHAR(16777216),
	PRIVACY_INFO VARIANT,
	USER_PROPERTIES VARIANT,
	USER_FIRST_TOUCH_TIMESTAMP NUMBER(38,0),
	USER_LTV VARIANT,
	DEVICE VARIANT,
	GEO VARIANT,
	APP_INFO VARIANT,
	TRAFFIC_SOURCE VARIANT,
	STREAM_ID NUMBER(38,0),
	PLATFORM VARCHAR(16777216),
	EVENT_DIMENSIONS VARIANT,
	ECOMMERCE VARIANT,
	ITEMS VARIANT
);"
GA4.GA4_OBFUSCATED_SAMPLE_ECOMMERCE.EVENTS_20201220,"create or replace TABLE EVENTS_20201220 (
	EVENT_DATE VARCHAR(16777216),
	EVENT_TIMESTAMP NUMBER(38,0),
	EVENT_NAME VARCHAR(16777216),
	EVENT_PARAMS VARIANT,
	EVENT_PREVIOUS_TIMESTAMP NUMBER(38,0),
	EVENT_VALUE_IN_USD FLOAT,
	EVENT_BUNDLE_SEQUENCE_ID NUMBER(38,0),
	EVENT_SERVER_TIMESTAMP_OFFSET NUMBER(38,0),
	USER_ID VARCHAR(16777216),
	USER_PSEUDO_ID VARCHAR(16777216),
	PRIVACY_INFO VARIANT,
	USER_PROPERTIES VARIANT,
	USER_FIRST_TOUCH_TIMESTAMP NUMBER(38,0),
	USER_LTV VARIANT,
	DEVICE VARIANT,
	GEO VARIANT,
	APP_INFO VARIANT,
	TRAFFIC_SOURCE VARIANT,
	STREAM_ID NUMBER(38,0),
	PLATFORM VARCHAR(16777216),
	EVENT_DIMENSIONS VARIANT,
	ECOMMERCE VARIANT,
	ITEMS VARIANT
);"
GA4.GA4_OBFUSCATED_SAMPLE_ECOMMERCE.EVENTS_20201208,"create or replace TABLE EVENTS_20201208 (
	EVENT_DATE VARCHAR(16777216),
	EVENT_TIMESTAMP NUMBER(38,0),
	EVENT_NAME VARCHAR(16777216),
	EVENT_PARAMS VARIANT,
	EVENT_PREVIOUS_TIMESTAMP NUMBER(38,0),
	EVENT_VALUE_IN_USD FLOAT,
	EVENT_BUNDLE_SEQUENCE_ID NUMBER(38,0),
	EVENT_SERVER_TIMESTAMP_OFFSET NUMBER(38,0),
	USER_ID VARCHAR(16777216),
	USER_PSEUDO_ID VARCHAR(16777216),
	PRIVACY_INFO VARIANT,
	USER_PROPERTIES VARIANT,
	USER_FIRST_TOUCH_TIMESTAMP NUMBER(38,0),
	USER_LTV VARIANT,
	DEVICE VARIANT,
	GEO VARIANT,
	APP_INFO VARIANT,
	TRAFFIC_SOURCE VARIANT,
	STREAM_ID NUMBER(38,0),
	PLATFORM VARCHAR(16777216),
	EVENT_DIMENSIONS VARIANT,
	ECOMMERCE VARIANT,
	ITEMS VARIANT
);"
GA4.GA4_OBFUSCATED_SAMPLE_ECOMMERCE.EVENTS_20201223,"create or replace TABLE EVENTS_20201223 (
	EVENT_DATE VARCHAR(16777216),
	EVENT_TIMESTAMP NUMBER(38,0),
	EVENT_NAME VARCHAR(16777216),
	EVENT_PARAMS VARIANT,
	EVENT_PREVIOUS_TIMESTAMP NUMBER(38,0),
	EVENT_VALUE_IN_USD FLOAT,
	EVENT_BUNDLE_SEQUENCE_ID NUMBER(38,0),
	EVENT_SERVER_TIMESTAMP_OFFSET NUMBER(38,0),
	USER_ID VARCHAR(16777216),
	USER_PSEUDO_ID VARCHAR(16777216),
	PRIVACY_INFO VARIANT,
	USER_PROPERTIES VARIANT,
	USER_FIRST_TOUCH_TIMESTAMP NUMBER(38,0),
	USER_LTV VARIANT,
	DEVICE VARIANT,
	GEO VARIANT,
	APP_INFO VARIANT,
	TRAFFIC_SOURCE VARIANT,
	STREAM_ID NUMBER(38,0),
	PLATFORM VARCHAR(16777216),
	EVENT_DIMENSIONS VARIANT,
	ECOMMERCE VARIANT,
	ITEMS VARIANT
);"
GA4.GA4_OBFUSCATED_SAMPLE_ECOMMERCE.EVENTS_20201212,"create or replace TABLE EVENTS_20201212 (
	EVENT_DATE VARCHAR(16777216),
	EVENT_TIMESTAMP NUMBER(38,0),
	EVENT_NAME VARCHAR(16777216),
	EVENT_PARAMS VARIANT,
	EVENT_PREVIOUS_TIMESTAMP NUMBER(38,0),
	EVENT_VALUE_IN_USD FLOAT,
	EVENT_BUNDLE_SEQUENCE_ID NUMBER(38,0),
	EVENT_SERVER_TIMESTAMP_OFFSET NUMBER(38,0),
	USER_ID VARCHAR(16777216),
	USER_PSEUDO_ID VARCHAR(16777216),
	PRIVACY_INFO VARIANT,
	USER_PROPERTIES VARIANT,
	USER_FIRST_TOUCH_TIMESTAMP NUMBER(38,0),
	USER_LTV VARIANT,
	DEVICE VARIANT,
	GEO VARIANT,
	APP_INFO VARIANT,
	TRAFFIC_SOURCE VARIANT,
	STREAM_ID NUMBER(38,0),
	PLATFORM VARCHAR(16777216),
	EVENT_DIMENSIONS VARIANT,
	ECOMMERCE VARIANT,
	ITEMS VARIANT
);"
GA4.GA4_OBFUSCATED_SAMPLE_ECOMMERCE.EVENTS_20201202,"create or replace TABLE EVENTS_20201202 (
	EVENT_DATE VARCHAR(16777216),
	EVENT_TIMESTAMP NUMBER(38,0),
	EVENT_NAME VARCHAR(16777216),
	EVENT_PARAMS VARIANT,
	EVENT_PREVIOUS_TIMESTAMP NUMBER(38,0),
	EVENT_VALUE_IN_USD FLOAT,
	EVENT_BUNDLE_SEQUENCE_ID NUMBER(38,0),
	EVENT_SERVER_TIMESTAMP_OFFSET NUMBER(38,0),
	USER_ID VARCHAR(16777216),
	USER_PSEUDO_ID VARCHAR(16777216),
	PRIVACY_INFO VARIANT,
	USER_PROPERTIES VARIANT,
	USER_FIRST_TOUCH_TIMESTAMP NUMBER(38,0),
	USER_LTV VARIANT,
	DEVICE VARIANT,
	GEO VARIANT,
	APP_INFO VARIANT,
	TRAFFIC_SOURCE VARIANT,
	STREAM_ID NUMBER(38,0),
	PLATFORM VARCHAR(16777216),
	EVENT_DIMENSIONS VARIANT,
	ECOMMERCE VARIANT,
	ITEMS VARIANT
);"
GA4.GA4_OBFUSCATED_SAMPLE_ECOMMERCE.EVENTS_20201203,"create or replace TABLE EVENTS_20201203 (
	EVENT_DATE VARCHAR(16777216),
	EVENT_TIMESTAMP NUMBER(38,0),
	EVENT_NAME VARCHAR(16777216),
	EVENT_PARAMS VARIANT,
	EVENT_PREVIOUS_TIMESTAMP NUMBER(38,0),
	EVENT_VALUE_IN_USD FLOAT,
	EVENT_BUNDLE_SEQUENCE_ID NUMBER(38,0),
	EVENT_SERVER_TIMESTAMP_OFFSET NUMBER(38,0),
	USER_ID VARCHAR(16777216),
	USER_PSEUDO_ID VARCHAR(16777216),
	PRIVACY_INFO VARIANT,
	USER_PROPERTIES VARIANT,
	USER_FIRST_TOUCH_TIMESTAMP NUMBER(38,0),
	USER_LTV VARIANT,
	DEVICE VARIANT,
	GEO VARIANT,
	APP_INFO VARIANT,
	TRAFFIC_SOURCE VARIANT,
	STREAM_ID NUMBER(38,0),
	PLATFORM VARCHAR(16777216),
	EVENT_DIMENSIONS VARIANT,
	ECOMMERCE VARIANT,
	ITEMS VARIANT
);"
GA4.GA4_OBFUSCATED_SAMPLE_ECOMMERCE.EVENTS_20201206,"create or replace TABLE EVENTS_20201206 (
	EVENT_DATE VARCHAR(16777216),
	EVENT_TIMESTAMP NUMBER(38,0),
	EVENT_NAME VARCHAR(16777216),
	EVENT_PARAMS VARIANT,
	EVENT_PREVIOUS_TIMESTAMP NUMBER(38,0),
	EVENT_VALUE_IN_USD FLOAT,
	EVENT_BUNDLE_SEQUENCE_ID NUMBER(38,0),
	EVENT_SERVER_TIMESTAMP_OFFSET NUMBER(38,0),
	USER_ID VARCHAR(16777216),
	USER_PSEUDO_ID VARCHAR(16777216),
	PRIVACY_INFO VARIANT,
	USER_PROPERTIES VARIANT,
	USER_FIRST_TOUCH_TIMESTAMP NUMBER(38,0),
	USER_LTV VARIANT,
	DEVICE VARIANT,
	GEO VARIANT,
	APP_INFO VARIANT,
	TRAFFIC_SOURCE VARIANT,
	STREAM_ID NUMBER(38,0),
	PLATFORM VARCHAR(16777216),
	EVENT_DIMENSIONS VARIANT,
	ECOMMERCE VARIANT,
	ITEMS VARIANT
);"
